,date,total_rides
807,05/17/2022,816709
808,05/18/2022,775572
809,05/19/2022,837918
810,05/20/2022,779205
811,05/21/2022,477735
812,05/22/2022,414758
813,05/23/2022,754416
814,05/24/2022,820361
815,05/25/2022,781663
816,05/26/2022,799922
817,05/27/2022,735290
818,05/28/2022,579761
819,05/29/2022,485992
820,05/30/2022,446286
821,05/31/2022,794926
822,06/01/2022,843690
823,06/02/2022,847944
824,06/03/2022,848796
825,06/04/2022,560908
826,06/05/2022,447260
827,06/06/2022,729832
828,06/07/2022,841719
829,06/08/2022,783073
830,06/09/2022,847776
831,06/10/2022,778398
832,06/11/2022,576420
833,06/12/2022,417935
834,06/13/2022,740303
835,06/14/2022,812977
836,06/15/2022,774390
837,06/16/2022,793443
838,06/17/2022,795020
839,06/18/2022,624031
840,06/19/2022,453214
841,06/20/2022,623655
842,06/21/2022,748688
843,06/22/2022,780353
844,06/23/2022,788251
845,06/24/2022,782974
846,06/25/2022,536269
847,06/26/2022,530106
848,06/27/2022,714953
849,06/28/2022,793924
850,06/29/2022,798610
851,06/30/2022,788609
852,07/01/2022,746184
853,07/02/2022,586951
854,07/03/2022,455892
855,07/04/2022,359758
856,07/05/2022,684511
857,07/06/2022,753588
858,07/07/2022,775300
859,07/08/2022,737898
860,07/09/2022,602761
861,07/10/2022,437330
862,07/11/2022,700657
863,07/12/2022,812185
864,07/13/2022,820166
865,07/14/2022,824199
866,07/15/2022,692912
867,07/16/2022,601770
868,07/17/2022,421259
869,07/18/2022,732028
870,07/19/2022,788959
871,07/20/2022,793644
872,07/21/2022,788361
873,07/22/2022,750407
874,07/23/2022,540687
875,07/24/2022,412184
876,07/25/2022,738399
877,07/26/2022,813311
878,07/27/2022,786326
879,07/28/2022,829245
880,07/29/2022,809653
881,07/30/2022,631440
882,07/31/2022,477088
883,08/01/2022,738724
884,08/02/2022,787627
885,08/03/2022,752007
886,08/04/2022,791127
887,08/05/2022,802946
888,08/06/2022,583076
889,08/07/2022,395386
890,08/08/2022,667621
891,08/09/2022,806854
892,08/10/2022,801563
893,08/11/2022,782673
894,08/12/2022,750912
895,08/13/2022,549199
896,08/14/2022,403837
897,08/15/2022,735385
898,08/16/2022,781356
899,08/17/2022,787037
900,08/18/2022,790304
901,08/19/2022,806322
902,08/20/2022,539769
903,08/21/2022,456881
904,08/22/2022,806958
905,08/23/2022,880215
906,08/24/2022,879168
907,08/25/2022,858470
908,08/26/2022,843625
909,08/27/2022,562693
910,08/28/2022,408553
911,08/29/2022,761214
912,08/30/2022,891765
913,08/31/2022,888045
914,09/01/2022,897822
915,09/02/2022,868391
916,09/03/2022,620321
917,09/04/2022,456791
918,09/05/2022,417557
919,09/06/2022,889161
920,09/07/2022,922732
921,09/08/2022,920901
922,09/09/2022,879186
923,09/10/2022,621620
924,09/11/2022,355898
925,09/12/2022,823721
926,09/13/2022,918312
927,09/14/2022,926839
928,09/15/2022,935374
929,09/16/2022,940532
930,09/17/2022,657928
931,09/18/2022,479015
932,09/19/2022,845504
933,09/20/2022,909388
934,09/21/2022,930515
935,09/22/2022,928855
936,09/23/2022,813671
937,09/24/2022,585145
938,09/25/2022,425634
939,09/26/2022,835610
940,09/27/2022,920325
941,09/28/2022,929753
942,09/29/2022,920445
943,09/30/2022,889663
944,10/01/2022,610548
945,10/02/2022,429281
946,10/03/2022,869709
947,10/04/2022,926737
948,10/05/2022,921786
949,10/06/2022,936316
950,10/07/2022,883550
951,10/08/2022,627432
952,10/09/2022,559300
953,10/10/2022,745523
954,10/11/2022,914134
955,10/12/2022,882793
956,10/13/2022,953270
957,10/14/2022,873638
958,10/15/2022,597374
959,10/16/2022,419271
960,10/17/2022,803577
961,10/18/2022,871703
962,10/19/2022,903987
963,10/20/2022,890844
964,10/21/2022,806704
965,10/22/2022,583237
966,10/23/2022,428836
967,10/24/2022,841879
968,10/25/2022,848201
969,10/26/2022,933329
970,10/27/2022,923955
971,10/28/2022,854827
972,10/29/2022,565586
973,10/30/2022,395165
974,10/31/2022,773804
975,11/01/2022,913818
976,11/02/2022,912247
977,11/03/2022,930247
978,11/04/2022,835430
979,11/05/2022,510512
980,11/06/2022,432710
981,11/07/2022,847300
982,11/08/2022,788712
983,11/09/2022,906375
984,11/10/2022,931419
985,11/11/2022,788113
986,11/12/2022,517471
987,11/13/2022,401072
988,11/14/2022,810142
989,11/15/2022,845926
990,11/16/2022,868403
991,11/17/2022,857318
992,11/18/2022,786185
993,11/19/2022,484970
994,11/20/2022,367840
995,11/21/2022,723167
996,11/22/2022,749167
997,11/23/2022,673878
998,11/24/2022,272186
999,11/25/2022,521787
1000,11/26/2022,490004
1001,11/27/2022,336812
1002,11/28/2022,779592
1003,11/29/2022,838562
1004,11/30/2022,813275
1005,12/01/2022,845791
1006,12/02/2022,817935
1007,12/03/2022,538461
1008,12/04/2022,394522
1009,12/05/2022,774326
1010,12/06/2022,835376
1011,12/07/2022,850020
1012,12/08/2022,845415
1013,12/09/2022,744495
1014,12/10/2022,551605
1015,12/11/2022,399190
1016,12/12/2022,771009
1017,12/13/2022,839123
1018,12/14/2022,794836
1019,12/15/2022,837889
1020,12/16/2022,756387
1021,12/17/2022,495234
1022,12/18/2022,374047
1023,12/19/2022,694054
1024,12/20/2022,760008
1025,12/21/2022,742954
1026,12/22/2022,546260
1027,12/23/2022,261890
1028,12/24/2022,244846
1029,12/25/2022,140554
1030,12/26/2022,328373
1031,12/27/2022,517792
1032,12/28/2022,533545
1033,12/29/2022,578445
1034,12/30/2022,607966
1035,12/31/2022,438529
1036,01/01/2023,305265
1037,01/02/2023,419921
1038,01/03/2023,659093
1039,01/04/2023,690930
1040,01/05/2023,676946
1041,01/06/2023,630559
1042,01/07/2023,456563
1043,01/08/2023,354774
1044,01/09/2023,746268
1045,01/10/2023,845384
1046,01/11/2023,842594
1047,01/12/2023,814850
1048,01/13/2023,735402
1049,01/14/2023,490174
1050,01/15/2023,374527
1051,01/16/2023,492201
1052,01/17/2023,841688
1053,01/18/2023,842285
1054,01/19/2023,826521
1055,01/20/2023,754198
1056,01/21/2023,482289
1057,01/22/2023,342347
1058,01/23/2023,776140
1059,01/24/2023,860927
1060,01/25/2023,799724
1061,01/26/2023,834495
1062,01/27/2023,725579
1063,01/28/2023,461337
1064,01/29/2023,344093
1065,01/30/2023,704941
1066,01/31/2023,739237
1067,02/01/2023,821096
1068,02/02/2023,827474
1069,02/03/2023,615077
1070,02/04/2023,484401
1071,02/05/2023,376187
1072,02/06/2023,793736
1073,02/07/2023,861126
1074,02/08/2023,865664
1075,02/09/2023,783567
1076,02/10/2023,769760
1077,02/11/2023,487828
1078,02/12/2023,368935
1079,02/13/2023,776139
1080,02/14/2023,866177
1081,02/15/2023,845013
1082,02/16/2023,775513
1083,02/17/2023,744892
1084,02/18/2023,521089
1085,02/19/2023,409032
1086,02/20/2023,622633
1087,02/21/2023,861321
1088,02/22/2023,765358
1089,02/23/2023,850364
1090,02/24/2023,771621
1091,02/25/2023,513824
1092,02/26/2023,399091
1093,02/27/2023,723042
1094,02/28/2023,866435
1095,03/01/2023,895434
1096,03/02/2023,858414
1097,03/03/2023,727039
1098,03/04/2023,542026
1099,03/05/2023,402294
1100,03/06/2023,773719
1101,03/07/2023,891354
1102,03/08/2023,881367
1103,03/09/2023,850797
1104,03/10/2023,778838
1105,03/11/2023,667880
1106,03/12/2023,375039
1107,03/13/2023,766654
1108,03/14/2023,890822
1109,03/15/2023,903329
1110,03/16/2023,860110
1111,03/17/2023,754616
1112,03/18/2023,483920
1113,03/19/2023,396602
1114,03/20/2023,778652
1115,03/21/2023,858057
1116,03/22/2023,839640
1117,03/23/2023,832081
1118,03/24/2023,781817
1119,03/25/2023,489746
1120,03/26/2023,402391
1121,03/27/2023,813551
1122,03/28/2023,887343
1123,03/29/2023,823622
1124,03/30/2023,905741
1125,03/31/2023,777513
1126,04/01/2023,550502
1127,04/02/2023,452443
1128,04/03/2023,743546
1129,04/04/2023,753448
1130,04/05/2023,774637
1131,04/06/2023,812995
1132,04/07/2023,732579
1133,04/08/2023,577774
1134,04/09/2023,405795
1135,04/10/2023,817184
1136,04/11/2023,927821
1137,04/12/2023,905806
1138,04/13/2023,927516
1139,04/14/2023,872304
1140,04/15/2023,615046
1141,04/16/2023,387571
1142,04/17/2023,768607
1143,04/18/2023,902337
1144,04/19/2023,907370
1145,04/20/2023,910265
1146,04/21/2023,866423
1147,04/22/2023,569627
1148,04/23/2023,420112
