,date,total_rides
718,08/13/2023,45768
719,08/12/2023,40616
720,08/11/2023,27274
721,08/10/2023,14626
722,08/09/2023,28072
723,08/08/2023,23608
724,08/07/2023,15406
725,08/06/2023,46620
726,08/05/2023,48959
727,08/04/2023,19406
728,08/03/2023,25201
729,08/02/2023,26812
730,08/01/2023,26327
731,07/31/2023,23231
732,07/30/2023,50761
733,07/29/2023,37992
734,07/28/2023,24641
735,07/27/2023,23426
736,07/26/2023,27808
737,07/25/2023,19758
738,07/24/2023,23733
739,07/23/2023,45407
740,07/22/2023,52427
741,07/21/2023,21355
742,07/20/2023,25958
743,07/19/2023,20680
744,07/18/2023,18772
745,07/17/2023,25371
746,07/16/2023,9969
747,07/15/2023,41177
748,07/14/2023,18800
749,07/13/2023,24858
750,07/12/2023,25177
751,07/11/2023,27018
752,07/10/2023,21079
753,07/09/2023,23327
754,07/08/2023,40296
755,07/07/2023,27164
756,07/06/2023,25229
757,07/05/2023,23908
758,07/04/2023,16087
759,07/03/2023,29865
760,07/02/2023,29405
761,07/01/2023,41176
762,06/30/2023,23389
763,06/29/2023,24929
764,06/28/2023,23520
765,06/27/2023,18650
766,06/26/2023,16060
767,06/25/2023,33202
768,06/24/2023,25410
769,06/23/2023,14720
770,06/22/2023,15900
771,06/21/2023,21061
772,06/20/2023,21023
773,06/19/2023,36760
774,06/18/2023,43306
775,06/17/2023,36064
776,06/16/2023,15760
777,06/15/2023,24259
778,06/14/2023,17673
779,06/13/2023,24020
780,06/12/2023,15307
781,06/11/2023,34647
782,06/10/2023,40268
783,06/09/2023,19440
784,06/08/2023,13314
785,06/07/2023,15197
786,06/06/2023,19790
787,06/05/2023,19716
788,06/04/2023,28620
789,06/03/2023,26077
790,06/02/2023,24944
791,06/01/2023,24171
792,05/31/2023,21764
793,05/30/2023,20737
794,05/29/2023,46734
795,05/28/2023,47143
796,05/27/2023,45507
797,05/26/2023,22888
798,05/25/2023,20473
799,05/24/2023,20383
800,05/23/2023,20131
801,05/22/2023,19660
802,05/21/2023,33830
803,05/20/2023,9213
804,05/19/2023,22718
805,05/18/2023,20432
806,05/17/2023,20528
807,05/16/2023,22622
808,05/15/2023,19369
809,05/14/2023,34681
810,05/13/2023,34857
811,05/12/2023,25178
812,05/11/2023,21720
813,05/10/2023,19063
814,05/09/2023,18076
815,05/08/2023,19822
816,05/07/2023,35448
817,05/06/2023,34998
818,05/05/2023,17691
819,05/04/2023,13349
820,05/03/2023,15033
821,05/02/2023,15261
822,05/01/2023,17107
823,04/30/2023,5357
824,04/29/2023,5255
825,04/28/2023,14374
826,04/27/2023,16397
827,04/26/2023,16968
828,04/25/2023,17658
829,04/24/2023,16415
830,04/23/2023,21299
831,04/22/2023,26831
832,04/21/2023,24355
833,04/20/2023,17941
834,04/19/2023,16676
835,04/18/2023,14597
836,04/17/2023,13173
837,04/16/2023,24772
838,04/15/2023,22193
839,04/14/2023,29459
840,04/13/2023,28462
841,04/12/2023,26002
842,04/11/2023,27557
843,04/10/2023,32773
844,04/09/2023,27092
845,04/08/2023,25481
846,04/07/2023,16797
847,04/06/2023,17936
848,04/05/2023,12473
849,04/04/2023,20030
850,04/03/2023,15030
851,04/02/2023,14510
852,04/01/2023,12030
853,03/31/2023,12013
854,03/30/2023,12977
855,03/29/2023,14704
856,03/28/2023,13118
857,03/27/2023,11463
858,03/26/2023,21340
859,03/25/2023,5852
860,03/24/2023,12927
861,03/23/2023,12067
862,03/22/2023,14698
863,03/21/2023,16527
864,03/20/2023,12384
865,03/19/2023,8174
866,03/18/2023,16460
867,03/17/2023,15586
868,03/16/2023,15863
869,03/15/2023,12178
870,03/14/2023,8869
871,03/13/2023,8679
872,03/12/2023,11135
873,03/11/2023,8426
874,03/10/2023,10447
875,03/09/2023,13796
876,03/08/2023,12434
877,03/07/2023,11988
878,03/06/2023,12294
879,03/05/2023,12355
880,03/04/2023,9619
881,03/03/2023,9937
882,03/02/2023,12063
883,03/01/2023,12216
884,02/28/2023,9245
885,02/27/2023,10254
886,02/26/2023,9333
887,02/25/2023,7586
888,02/24/2023,10422
889,02/23/2023,12140
890,02/22/2023,10964
891,02/21/2023,11272
892,02/20/2023,13235
893,02/19/2023,10633
894,02/18/2023,11826
895,02/17/2023,8133
896,02/16/2023,11296
897,02/15/2023,14940
898,02/14/2023,13779
899,02/13/2023,11684
900,02/12/2023,8323
901,02/11/2023,12326
902,02/10/2023,11656
903,02/09/2023,11761
904,02/08/2023,12820
905,02/07/2023,11749
906,02/06/2023,10518
907,02/05/2023,8156
