,date,total_rides
633,11/06/2023,745601
634,11/05/2023,393176
635,11/04/2023,564051
636,11/03/2023,715708
637,11/02/2023,809276
638,11/01/2023,818342
639,10/31/2023,824089
640,10/30/2023,755961
641,10/29/2023,473699
642,10/28/2023,542421
643,10/27/2023,776988
644,10/26/2023,834097
645,10/25/2023,851739
646,10/24/2023,845168
647,10/23/2023,761423
648,10/22/2023,382189
649,10/21/2023,511352
650,10/20/2023,716962
651,10/19/2023,802691
652,10/18/2023,836804
653,10/17/2023,823443
654,10/16/2023,749219
655,10/15/2023,398564
656,10/14/2023,433410
657,10/13/2023,755590
658,10/12/2023,816569
659,10/11/2023,837770
660,10/10/2023,826945
661,10/09/2023,514451
662,10/08/2023,411577
663,10/07/2023,470848
664,10/06/2023,729809
665,10/05/2023,816901
666,10/04/2023,831472
667,10/03/2023,828043
668,10/02/2023,737246
669,10/01/2023,407928
670,09/30/2023,552658
671,09/29/2023,775241
672,09/28/2023,825265
673,09/27/2023,843401
674,09/26/2023,805501
675,09/25/2023,715851
676,09/24/2023,381565
677,09/23/2023,371749
678,09/22/2023,764631
679,09/21/2023,824498
680,09/20/2023,838575
681,09/19/2023,822508
682,09/18/2023,735961
683,09/17/2023,350645
684,09/16/2023,505032
685,09/15/2023,738186
686,09/14/2023,817115
687,09/13/2023,831989
688,09/12/2023,828251
689,09/11/2023,729968
690,09/10/2023,371059
691,09/09/2023,450551
692,09/08/2023,727596
693,09/07/2023,771360
694,09/06/2023,782223
695,09/05/2023,776038
696,09/04/2023,369584
697,09/03/2023,415195
698,09/02/2023,507654
699,09/01/2023,729751
700,08/31/2023,767443
701,08/30/2023,765340
702,08/29/2023,754048
703,08/28/2023,672527
704,08/27/2023,384964
705,08/26/2023,484523
706,08/25/2023,641779
707,08/24/2023,695379
708,08/23/2023,719809
709,08/22/2023,713393
710,08/21/2023,636593
711,08/20/2023,360305
712,08/19/2023,481977
713,08/18/2023,655287
714,08/17/2023,700937
715,08/16/2023,713886
716,08/15/2023,686393
717,08/14/2023,592358
718,08/13/2023,366940
719,08/12/2023,475035
720,08/11/2023,653507
721,08/10/2023,670846
722,08/09/2023,716427
723,08/08/2023,715480
724,08/07/2023,615411
725,08/06/2023,373718
726,08/05/2023,477917
727,08/04/2023,665804
728,08/03/2023,709706
729,08/02/2023,739707
730,08/01/2023,748194
731,07/31/2023,663321
732,07/30/2023,399188
733,07/29/2023,467551
734,07/28/2023,666638
735,07/27/2023,724434
736,07/26/2023,779421
737,07/25/2023,753740
738,07/24/2023,666272
739,07/23/2023,401644
740,07/22/2023,505290
741,07/21/2023,713394
742,07/20/2023,762985
743,07/19/2023,766413
744,07/18/2023,774142
745,07/17/2023,686020
746,07/16/2023,371604
747,07/15/2023,477942
748,07/14/2023,665717
749,07/13/2023,752665
750,07/12/2023,771822
751,07/11/2023,771964
752,07/10/2023,680927
753,07/09/2023,360735
754,07/08/2023,489000
755,07/07/2023,668990
756,07/06/2023,715057
757,07/05/2023,697697
758,07/04/2023,594320
759,07/03/2023,625912
760,07/02/2023,399371
761,07/01/2023,465311
762,06/30/2023,650430
763,06/29/2023,726713
764,06/28/2023,759511
765,06/27/2023,711038
766,06/26/2023,643594
767,06/25/2023,374167
768,06/24/2023,509374
769,06/23/2023,607966
770,06/22/2023,720692
771,06/21/2023,707451
772,06/20/2023,750583
773,06/19/2023,460761
774,06/18/2023,396639
775,06/17/2023,509732
776,06/16/2023,683166
777,06/15/2023,774216
778,06/14/2023,792574
779,06/13/2023,798731
780,06/12/2023,671879
781,06/11/2023,416876
782,06/10/2023,555946
783,06/09/2023,688797
784,06/08/2023,723418
785,06/07/2023,796183
786,06/06/2023,808332
787,06/05/2023,710299
788,06/04/2023,392547
789,06/03/2023,481950
790,06/02/2023,737569
791,06/01/2023,771436
792,05/31/2023,763978
793,05/30/2023,738370
794,05/29/2023,341410
795,05/28/2023,377843
796,05/27/2023,448035
797,05/26/2023,664954
798,05/25/2023,739708
799,05/24/2023,771359
800,05/23/2023,782474
801,05/22/2023,688995
802,05/21/2023,394613
803,05/20/2023,498405
804,05/19/2023,712914
805,05/18/2023,741708
806,05/17/2023,765540
807,05/16/2023,752136
808,05/15/2023,680942
809,05/14/2023,373937
810,05/13/2023,442453
811,05/12/2023,709798
812,05/11/2023,741136
813,05/10/2023,752491
814,05/09/2023,724485
815,05/08/2023,667274
816,05/07/2023,335439
817,05/06/2023,489812
818,05/05/2023,680899
819,05/04/2023,729285
820,05/03/2023,739213
821,05/02/2023,724219
822,05/01/2023,677303
823,04/30/2023,296470
824,04/29/2023,486003
825,04/28/2023,567176
826,04/27/2023,745520
827,04/26/2023,743502
828,04/25/2023,735821
829,04/24/2023,669105
830,04/23/2023,344383
831,04/22/2023,386675
832,04/21/2023,646577
833,04/20/2023,706290
834,04/19/2023,726799
