"service_date","day_type","bus","rail_boardings","total_rides"
"03/28/2021","U","171,037","101,679","272,716"
"03/29/2021","W","316,586","165,113","481,699"
"03/30/2021","W","324,218","170,588","494,806"
"03/31/2021","W","313,521","168,955","482,476"
"04/01/2021","W","330,414","178,267","508,681"
"04/02/2021","W","329,144","180,602","509,746"
"04/03/2021","A","258,780","150,786","409,566"
"04/04/2021","U","178,580","105,039","283,619"
"04/05/2021","W","313,426","166,404","479,830"
"04/06/2021","W","338,664","181,795","520,459"
"04/07/2021","W","340,512","181,069","521,581"
"04/08/2021","W","302,569","171,140","473,709"
"04/09/2021","W","330,542","186,985","517,527"
"04/10/2021","A","212,976","129,831","342,807"
"04/11/2021","U","177,686","105,758","283,444"
"04/12/2021","W","326,192","170,290","496,482"
"04/13/2021","W","335,197","179,135","514,332"
"04/14/2021","W","320,689","173,838","494,527"
"04/15/2021","W","321,850","179,206","501,056"
"04/16/2021","W","334,144","199,086","533,230"
"04/17/2021","A","237,265","155,208","392,473"
"04/18/2021","U","177,249","112,596","289,845"
"04/19/2021","W","307,407","165,608","473,015"
"04/20/2021","W","310,048","170,031","480,079"
"04/21/2021","W","313,705","173,325","487,030"
"04/22/2021","W","336,610","187,886","524,496"
"04/23/2021","W","341,811","203,880","545,691"
"04/24/2021","A","234,939","149,135","384,074"
"04/25/2021","U","175,558","113,050","288,608"
"04/26/2021","W","337,128","176,283","513,411"
"04/27/2021","W","352,388","193,712","546,100"
"04/28/2021","W","303,689","172,569","476,258"
"04/29/2021","W","327,089","184,416","511,505"
"04/30/2021","W","358,329","207,166","565,495"
"05/01/2021","A","266,141","170,503","436,644"
"05/02/2021","U","195,776","126,355","322,131"
"05/03/2021","W","334,667","174,120","508,787"
"05/04/2021","W","330,540","183,621","514,161"
"05/05/2021","W","346,837","193,605","540,442"
"05/06/2021","W","322,453","187,545","509,998"
"05/07/2021","W","351,011","212,194","563,205"
"05/08/2021","A","255,252","161,702","416,954"
"05/09/2021","U","158,199","108,981","267,180"
"05/10/2021","W","317,899","175,820","493,719"
"05/11/2021","W","338,523","189,589","528,112"
"05/12/2021","W","337,223","193,841","531,064"
"05/13/2021","W","347,914","205,589","553,503"
