Date,Boardings
03/19/2023,8174
03/18/2023,16460
03/17/2023,15586
03/16/2023,15863
03/15/2023,12178
03/14/2023,8869
03/13/2023,8679
03/12/2023,11135
03/11/2023,8426
03/10/2023,10447
03/09/2023,13796
03/08/2023,12434
03/07/2023,11988
03/06/2023,12294
03/05/2023,12355
03/04/2023,9619
03/03/2023,9937
03/02/2023,12063
03/01/2023,12216
02/28/2023,9245
02/27/2023,10254
02/26/2023,9333
02/25/2023,7586
02/24/2023,10422
02/23/2023,12140
02/22/2023,10964
02/21/2023,11272
02/20/2023,13235
02/19/2023,10633
02/18/2023,11826
02/17/2023,8133
02/16/2023,11296
02/15/2023,14940
02/14/2023,13779
02/13/2023,11684
02/12/2023,8323
02/11/2023,12326
02/10/2023,11656
02/09/2023,11761
02/08/2023,12820
02/07/2023,11749
02/06/2023,10518
02/05/2023,8156
02/04/2023,3786
02/03/2023,6806
02/02/2023,11577
02/01/2023,11445
01/31/2023,11239
01/30/2023,11648
01/29/2023,8111
01/28/2023,11255
01/27/2023,10402
01/26/2023,11167
01/25/2023,9653
01/24/2023,12197
01/23/2023,8128
01/22/2023,6241
01/21/2023,9576
01/20/2023,10171
01/19/2023,9424
01/18/2023,12545
01/17/2023,11148
01/16/2023,7891
01/15/2023,7958
01/14/2023,7503
01/13/2023,9839
01/12/2023,10566
01/11/2023,11609
01/10/2023,11574
01/09/2023,9158
01/08/2023,7679
01/07/2023,9298
01/06/2023,9799
01/05/2023,11720
01/04/2023,12797
01/03/2023,10027
01/02/2023,11900
01/01/2023,10720
12/31/2022,5543
12/30/2022,16966
12/29/2022,13803
12/28/2022,12355
12/27/2022,9230
12/26/2022,5532
12/25/2022,2157
12/24/2022,1574
12/23/2022,3941
12/22/2022,7815
12/21/2022,10937
12/20/2022,10717
12/19/2022,9629
12/18/2022,7073
12/17/2022,9688
12/16/2022,6508
12/15/2022,9717
12/14/2022,11871
12/13/2022,11754
12/12/2022,10594
12/11/2022,4772
12/10/2022,9999
12/09/2022,11743
12/08/2022,14492
12/07/2022,11784
12/06/2022,11404
12/05/2022,12099
12/04/2022,10531
12/03/2022,6310
12/02/2022,12281
12/01/2022,12528
11/30/2022,9807
11/29/2022,12281
11/28/2022,10985
11/27/2022,4169
11/26/2022,14716
11/25/2022,6008
11/24/2022,5896
11/23/2022,12157
11/22/2022,12831
11/21/2022,9936
11/20/2022,7301
11/19/2022,10174
11/18/2022,11576
11/17/2022,12886
11/16/2022,12492
11/15/2022,11940
11/14/2022,12042
11/13/2022,9287
11/12/2022,21275
11/11/2022,8051
11/10/2022,15895
11/09/2022,14148
11/08/2022,14974
11/07/2022,17956
11/06/2022,23624
11/05/2022,30337
11/04/2022,17772
11/03/2022,17299
11/02/2022,18385
11/01/2022,15401
10/31/2022,13119
10/30/2022,22071
10/29/2022,24400
10/28/2022,14319
10/27/2022,18416
10/26/2022,15851
10/25/2022,15368
10/24/2022,11041
10/23/2022,12058
10/22/2022,29770
10/21/2022,16795
10/20/2022,16105
10/19/2022,15444
10/18/2022,15463
10/17/2022,12191
10/16/2022,20651
10/15/2022,29200
10/14/2022,18915
10/13/2022,13366
10/12/2022,28545
10/11/2022,18530
10/10/2022,19175
10/09/2022,23717
10/08/2022,24513
10/07/2022,22229
10/06/2022,21480
10/05/2022,13254
10/04/2022,11765
10/03/2022,10193
10/02/2022,5468
10/01/2022,8757
09/30/2022,15676
09/29/2022,17374
09/28/2022,17830
09/27/2022,19043
09/26/2022,18686
09/25/2022,18053
09/24/2022,28737
09/23/2022,17851
09/22/2022,12835
09/21/2022,16805
09/20/2022,18724
09/19/2022,15779
09/18/2022,29766
09/17/2022,34442
09/16/2022,21682
09/15/2022,19885
09/14/2022,20968
09/13/2022,17219
09/12/2022,16278
09/11/2022,12475
09/10/2022,38803
09/09/2022,21693
09/08/2022,20435
09/07/2022,15676
09/06/2022,9791
09/05/2022,25010
09/04/2022,39992
09/03/2022,42618
09/02/2022,27584
09/01/2022,24099
08/31/2022,23167
08/30/2022,22216
08/29/2022,21117
08/28/2022,30724
08/27/2022,40452
08/26/2022,20199
08/25/2022,22663
